LABNR,GR,C14AGE,C14STD,C13,COUNTRY,SITE,MAR,MATERIAL,SPECIES,PHASE,LOCUS,SAMPLE,CULTURE,PERIOD,calBC68,calBC95,REGION,LATITUDE,LONGITUDE,INCONGR,NOTICE,REFERENCE,ID
B-118723,---,"8490","90",0,Iran,Ali Kosh,"-",organic material,carbon,"level AK, depth 280-300cm","level AK, depth 280-300cm",---,PPN,ACN, 7520 +- 80,7680 - 7360,05.03 Lower Mesopotamia,32.56,47.32,---,---,Zeder and Hesse 2000,"5704"
B-122721,---,"8540","90",0,Iran,Ali Kosh,"-",organic material,carbon,"level BM, depth 635cm","level BM, depth 635cm",---,PPN,ACN, 7600 +- 90,7780 - 7420,05.03 Lower Mesopotamia,32.56,47.32,---,---,Zeder and Hesse 2000,"5706"
S-1174,---,"8850","210",0,Iran,Ali Kosh,"-",charcoal,---,niv. plus ou moins sterile,niv. plus ou moins sterile,---,PPN,ACN, 7970 +- 260,8490 - 7450,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: phase de Ali Kosh, A 22","Hole et al. 1969, Hole 1987","249"
SI-160R,---,"8890","200",0,Iran,Ali Kosh,"-",seeds,"prosopis sp., ash and grain",---,---,---,---,ACN, 8010 +- 260,8530 - 7490,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: niveau ""contenant la plus ancienne ceramiqued'Iran, surmonte directement les niveaux preeramiques (m�me echantillon que I-160), phasse de Mohammad Jaffar","Long and Mielke 1966, Hole et al. 1969","253"
SI-160,---,"8920","100",0,Iran,Ali Kosh,"-",seeds,"prosopis sp., ash and grain",---,---,---,PN,ACN, 8040 +- 170,8380 - 7700,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: niveau ""contenant la plus ancienne ceramique d'Iran"", surmonte directement les niveaux preceramiques (m�me echantillon que SI-160R)","Long and Mielke 1966, Hole et al. 1969, Hole 1987","251"
UCLA-750D,---,"9900","200",0,Iran,Ali Kosh,"-",charcoal,---,---,---,---,Bus Mordeh,ACN, 9500 +- 340,10180 - 8820,05.03 Lower Mesopotamia,32.56,47.32,---,Banadora: phase de Bus Mordeh,"Berger et al. 1965, Hole et al. 1969, Hole 1987","254"
I-1490,---,"9950","190",0,Iran,Ali Kosh,"-",charcoal,---,poubelle dans une cour (?),poubelle dans une cour (?),---,PPN,ACN, 9600 +- 320,10240 - 8960,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: phase de Ali Kosh, AK 72 270","Hole et al. 1969, Hole 1987","240"
UCLA-1714C,---,"8700","100",0,Iran,Asiab,"-",bone,Ovis vel Capra,"1,2-1,4 m","1,2-1,4 m",---,PPN,ACN, 7810 +- 160,8130 - 7490,07.01 N-Zagros,34.3,47.19,---,---,"Berger et al. 1973, Mellaart 1975, Hole 1987, Voigt and Dyson 1992","326"
UCLA-1714B,---,"8900","100",0,Iran,Asiab,"-",bone,Ovis vel Capra,"1,4 m","1,4 m",---,PPN,ACN, 8020 +- 180,8380 - 7660,07.01 N-Zagros,34.3,47.19,---,---,"Berger et al. 1973, Mellaart 1975, Hole 1987, Voigt and Dyson 1992","325"
UCLA-1714F,---,"9050","300",0,Iran,Asiab,"-",bone,Ovis vel Capra,"below 1,4 m","below 1,4 m",---,PPN,ACN, 8240 +- 410,9060 - 7420,07.01 N-Zagros,34.3,47.19,---,---,"Berger et al. 1973, Mellaart 1975, Hole 1987, Voigt and Dyson 1992","327"
