site_id,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,source,additional_references,outlier,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,remarks
TCEC55,East Chia Sabz,2044,,OxA-21031,charcoal,,9180,40,,Darabi2015-jm,Darabi et al.2012,FALSE,,,,,,,,,,,
TCEC55,East Chia Sabz,2046,,OxA-21032,charcoal,,9225,40,,Darabi2015-jm,Darabi et al.2012,FALSE,,,,,,,,,,,
,Feyda,,,AA-30508,bone (charred),,7710,85,,Palmisano2017-qp,,FALSE,,,,,,,,,,,
,Feyda,,,AA-30509,bone (charred),,7945,85,,Palmisano2017-qp,,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,A,,B-108238,bone collagen,,8780,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,B,,B-108239,bone collagen,,8930,60,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,B,,B-108240,bone collagen,,8780,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,B,,B-108241,bone collagen,,8720,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,B,,B-108242,bone collagen,,8940,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,C,,B-108243,bone collagen,,8920,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,B-108244,bone collagen,,8840,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,B-108245,bone collagen,,8940,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,E,,B-108246,bone collagen,,8870,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,E,,B-108247,bone collagen,,8830,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,E,,B-108248,bone collagen,,8900,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,E,,B-108249,bone collagen,,8840,50,,Darabi2015-jm,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,Beta-432800,bone collagen,Homo sapiens,8860,50,,,Meiklejohn et al. 2017,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D,,Beta-436170,bone collagen,Homo sapiens,9000,40,,,Meiklejohn et al. 2017,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,E,,GAK-807,charcoal,,10400,150,,Darabi2015-jm,Smith 1972,FALSE,,,,,,,,,,,
TCEC107,Ganj Dareh,D/E,,GAK-994,charcoal,,8910,170,,Darabi2015-jm,Hesse 1978,FALSE,,,,,,,,,,,
