site_id,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,reference,source,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,comment
,Jaffarabad,,,TUNC-3,unknown,,5062,68,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-4,unknown,,5166,72,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-43,unknown,,4966,84,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-44,unknown,,5096,121,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-46,unknown,,5141,122,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-48,unknown,,5133,94,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-5,unknown,,5246,71,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jaffarabad,,,TUNC-6,unknown,,5238,72,,Hole 1987,CONTEXT,,,,,,,,,,,
,Jani,,"Section, C23, ash layer, S72b",Beta-258649,plant remains,Cyperaceae,8860,60,-23.4,Matthews et al. 2013b,Darabi 2015 (BAR),,,,,,,,,,,
,Jani,,"Section, C11, ash layer, S11",Beta-267510,charcoal,,8820,50,,Matthews et al. 2013b,Darabi 2015 (BAR),,,,,,,,,,,
,Jarmo,,,C-113,shell,,6710,320,,"Libby 1955, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,C-742,charcoal,taches de charbon de bois,6606,330,,"Libby 1955, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,C-743,charcoal,,6695,360,,"Libby 1955, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,C-744,charcoal,,5266,450,,"Libby 1955, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,GL-44,charcoal,,6650,170,,"Science 127, 1958, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,GL-45,charcoal,,6670,120,,"Science 127, 1958, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,GL-48,charcoal,,6930,120,,"Braidwood et al. (eds.) 1983, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,GL-49,charcoal,,6300,180,,"Braidwood et al. (eds.) 1983, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,GL-50,charcoal,,6750,120,,"Braidwood et al. (eds.) 1983, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,GrN-6353,ceramic,,7655,75,,"Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,H-551/-491,charcoal,,8525,175,,"Braidwood 1958b, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,UCLA-1714E,bone,"Onager, collagen",7980,140,,"Berger et al. 1973, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,UCLA-1723A,bone collagen,Ovis,7800,120,,"Berger et al. 1973, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,UCLA-1723B,bone collagen,Bos,7270,200,,"Berger et al. 1973, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,UCLA-1723C,bone collagen,Bos,6180,300,,"Berger et al. 1973, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,UCLA-1723D,bone collagen,Bos,6550,200,,"Berger et al. 1973, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,W-607,soil,ash from hearth,9040,250,,"Rubin and Alexander 1960, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,W-608,bone,humic acid,7750,250,,"Rubin and Alexander 1960, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,W-651,charcoal,,8830,200,,"Rubin and Alexander 1960, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,W-652,charcoal,,7950,200,,"Rubin and Alexander 1960, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,W-657,soil,ashy soil,11240,300,,"Rubin and Alexander 1960, Braidwood et al. (eds.) 1983, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Jarmo,,,W-665,soil,ashy soil,11200,200,,"Rubin and Alexander 1960, Hole 1987, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Kelek Asad Morad,CUT 6,,UBA-15576,charcoal,,9101,41,,Moradi et al. 2016,Berlin ex-orient (2016),,,,,,,,,,,
,Kelek Asad Morad,114,,UBA-15577,charcoal,,9109,42,,Moradi et al. 2016,Berlin ex-orient (2016),,,,,,,,,,,
,Kelek Asad Morad,114,,UBA-15578,charcoal,,9149,48,,Moradi et al. 2016,Berlin ex-orient (2016),,,,,,,,,,,
,M'lefaat,,,Gd-4465,charcoal,,10850,200,,Kozlowski 1994a,CONTEXT,,,,,,,,,,,
,M'lefaat,,,Gd-4483,charcoal,,12810,660,,Kozlowski 1994a,CONTEXT,,,,,,,,,,,
,M'lefaat,,,Gd-4652,charcoal,,13860,300,,Kozlowski 1994a,CONTEXT,,,,,,,,,,,
,M'lefaat,,,Gd-4658,charcoal,,12360,280,,Kozlowski 1994a,CONTEXT,,,,,,,,,,,
,M'lefaat,,,Gd-6149,charcoal,,10290,180,,Kozlowski 1994a,CONTEXT,,,,,,,,,,,
,M'lefaat,,,Gd-6150,charcoal,,10890,140,,Kozlowski 1994a,CONTEXT,,,,,,,,,,,
,M'lefaat,,,Gd-6356,charcoal,,9630,130,,Kozlowski 1994a,CONTEXT,,,,,,,,,,,
,M'lefaat,,,Gd-6363,charcoal,,13540,180,,Kozlowski 1994a,CONTEXT,,,,,,,,,,,
,M'lefaat,,,OxA-3747,plant remains,Lens,9870,140,,Kozlowski 1994a,Roberts et al. 2017,,,,,,,,,,,
,M'lefaat,,,OxA-3748,plant remains,Lens,9890,120,,Kozlowski 1994a,Roberts et al. 2017,,,,,,,,,,,
,M'lefaat,,,OxA-3749,plant remains,carbinized grain,9660,250,,Kozlowski 1994a,CONTEXT,,,,,,,,,,,
,M'lefaat,,,OxA-3810,plant remains,Lens,9680,100,,,Roberts et al. 2017,,,,,,,,,,,
,M'lefaat,,,OxA-3819,plant remains,carbinized grain,9680,100,,"Kozlowski 1994a, Waterbolk 1994",CONTEXT,,,,,,,,,,,
,Madhhur,,,BM-1458,plant remains,carbinized grain,5570,55,,Burleigh et al. 1982a,CONTEXT,,,,,,,,,,,
,Magzaliyah,,,IGAN-772,charcoal,,8010,50,,"Bader 1989, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Magzaliyah,,,IGAN-773,charcoal,,7490,50,,"Bader 1989, Kozlowski 1994a",CONTEXT,,,,,,,,,,,
,Mahtaj,,(1005) RN 2010,AAR-26660,Dung?,,8022,32,-25.99,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(1002) RN 2023,AAR-26661,Dung?,,8123,40,-24.67,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(1002) RN 2028,AAR-26662,Dung?,,7918,34,-25.46,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(2003) RN 2088,AAR-26663,Dung?,,8068,37,-27.26,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(2005) RN 2093,AAR-26664,Dung?,,34517,267,-26.21,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(3002) RN 2128,AAR-26665,Dung?,,8125,42,-25.55,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(3003) RN 2141,AAR-26666,Dung?,,7958,32,-25.23,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(3003) RN 2142,AAR-26667,Dung?,,8070,32,-25.26,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(3006) RN 2185,AAR-26668,Dung?,,8041,32,-26.78,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(3006) RN 2186,AAR-26669,Dung?,,8042,36,-25.61,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(1015) RN 2199,AAR-26670,plant remains,Salicaceae,7762,31,-26,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Mahtaj,,(1018) RN 2211,AAR-26671,Dung?,,32396,209,-26.24,TCEC,TCEC,,,,,,,,,,,Material uncertain
,Malyan,,,TUNC-31,unknown,,4815,91,,"Iran 10 1972, Renfrew 1978",CONTEXT,,,,,,,,,,,
,Matarrah,,,W-623,charcoal,,7570,250,,"Rubin and Alexander 1960, Bernbeck 1994",CONTEXT,,,,,,,,,,,
