site_id,source_id,lchto_id,name,name2,latitude,longitude,coord_precision,coord_source,morphology,chronology,short_period,period_LP,period_MP,period_UP,period_EP,period_N0,period_N1.1,period_N1.2,period_N2,period_N3,period_C1,period_C2,period_C3,period_B,period_H,area,finds_n,excavated,references,comments
354,,,Mahidasht 104,,34.46532562,47.06730871,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
355,,,Mahidasht 105,,34.40751376,47.04468667,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
356,,,Mahidasht 106,,34.46113635,47.11339062,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
357,,,Mahidasht 107,,34.44773071,47.14271548,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
358,,,Mahidasht 108,,34.37818891,47.12176915,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
359,,,Mahidasht 109,,34.36562111,47.11255277,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
360,,,Mahidasht 110,,34.28853863,47.04217312,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
361,,,Mahidasht 111,,34.25251096,47.04971379,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
362,,,Mahidasht 112,,34.24245672,47.04887594,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
363,,,Mahidasht 113,,34.24329457,47.10249853,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
364,,,Mahidasht 114,,34.27680869,47.11255277,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
365,,,Mahidasht 115,,34.30864711,47.15444542,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
366,,,Mahidasht 116,,34.32289061,47.15863468,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
367,,,Mahidasht 117,,34.33043129,47.16031039,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
368,,,Mahidasht 118,,34.32372846,47.16449966,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
369,,,Mahidasht 119,,34.33126914,47.17874316,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
